,ID_NUMBER,Probability,ToInspect
2242,TNR000030346,0.9850273487,1
2244,PAR000522276,0.9862258216,1
2246,PAR000521112,0.9833384921,1
2247,KYR000041426,0.9961939012,1
2248,NVR000083725,0.9894875889,1
2250,RID982747263,0.987996244,1
2256,DCR000502997,0.9888051587,1
2257,DCR000503540,0.9947007937,1
2259,MNS000163303,0.9917769304,1
2269,KSR000505628,0.9932047619,1
2273,DCR000502823,0.9884420635,1
2275,KYD000604298,0.9901648762,1
2276,DCR000504654,0.9890016599,1
2280,PAR000016709,0.9842674603,1
2282,DCR000502740,0.9884420635,1
2284,NCR000149542,0.986118119,1
2285,DCR000503474,0.9920093985,1
2287,MAD981062284,0.9842063453,1
2288,INR000127381,0.9908346478,1
2290,NJR000064378,0.9925536119,1
2292,OHD987034667,0.9846257686,1
2293,VTR000511626,0.9873765873,1
2301,DC1960000908,0.9885917393,1
2304,DCR000503086,0.9876678571,1
2307,NJD053101085,0.9939202017,1
2311,MT6211890037,0.9918732963,1
2312,NCD982128712,0.9852728125,1
2319,LAR000071969,0.9857730769,1
2323,NJD004362059,0.996445594,1
2327,NMR000004325,0.9918206278,1
2328,DCR000503292,0.9965904762,1
2335,NCD982113961,0.9829173571,1
2350,NVR000083113,0.9904836206,1
2352,DCD983969031,0.9948662698,1
2355,NYD002115053,0.9903713764,1
2360,NJD065693319,0.9937636364,1
2364,NVR000085456,0.9861490518,1
2368,MNS000152371,0.9891842177,1
2370,PAD982364671,0.9887379492,1
2375,DCD983971094,0.9981568187,1
2378,MIR000037218,0.9911490057,1
2379,PAD073752156,0.9864674177,1
2383,OHD038097499,0.9905467893,1
2387,ILR000165225,0.9837394319,1
2389,DCR000501510,0.9921545635,1
2395,TXD988074274,0.9846821,1
2411,DCR000501502,0.9884457076,1
2416,DCR000500876,0.983047619,1
2423,NCS000001520,0.9843182016,1
2425,DCD980714034,0.9957781746,1
2426,PAR000542001,0.9842218421,1
2427,MIK947788519,0.9902999564,1
2433,DCR000504001,0.9843265873,1
2437,NCS000001671,0.9897029609,1
2438,DCD983966615,0.9942007937,1
2443,DCR000507494,0.9893019841,1
2452,DCD983968637,0.9982540409,1
2454,DCR000505032,0.9950702965,1
2455,NYR000157032,0.9860363221,1
2457,DCR000501080,0.9952174603,1
2458,DCR000502609,0.9949591853,1
2460,NYD071602023,0.9853400801,1
2464,VAD988172391,0.9862102027,1
2467,MIK157577373,0.9862146825,1
2471,DCR000504894,0.9842847119,1
2472,DCR000503961,0.9892984127,1
2473,DCR000503979,0.990340873,1
2477,NYD980641690,0.9874221799,1
2487,TND055254643,0.9837431113,1
2494,VTR000520577,0.9895198924,1
2500,COR000232348,0.9852400794,1
2504,DCR000501841,0.9925286298,1
2516,DCR000505016,0.995386606,1
2517,NYD986931145,0.9926361002,1
2519,KYR000055996,0.9859266392,1
2520,NJR986634285,0.9940898725,1
2523,DCR000504910,0.9922599206,1
2525,DCR000507380,0.9882440476,1
2526,IAD984594390,0.984596685,1
2530,NYR000196741,0.9844336346,1
2531,NYD002073047,0.9953748508,1
2534,NJ1960011152,0.9920137846,1
2535,DCR000507368,0.9834666667,1
2539,MID982206799,0.9932330965,1
2548,WVR000539932,0.982906487,1
2561,DCR000000414,0.9867313492,1
2571,NJR000042002,0.985738573,1
2578,NVD982445991,0.9842067946,1
2583,DCR000505073,0.9887190476,1
2584,DCR000505099,0.9909449139,1
2586,DCR000505115,0.9909449139,1
2593,WID051623353,0.9834316017,1
2599,NYR000155341,0.9953700084,1
2600,MOR000554931,0.9849907537,1
2605,DCR000503888,0.9983790409,1
2607,DCR000000604,0.9865607143,1
2610,DCR000503755,0.990340873,1
2629,NJR986639631,0.985629,1
2638,FLD004094181,0.993548726,1
2640,DCR000507290,0.9949591853,1
2642,PAR000530154,0.9923123222,1
2643,NVR000000810,0.9888506841,1
2645,NYR000164202,0.9826583424,1
2648,NVR000038000,0.9843621693,1
2655,VAR000527622,0.990652779,1
2656,MOD054992706,0.9922722222,1
2666,LAR000073742,0.9883667098,1
2668,VAR000521278,0.9890982757,1
2670,NCS000000837,0.9884236282,1
2673,NCR000145516,0.9857833714,1
2675,TNR000017699,0.9841395381,1
2676,TND981021306,0.9881092351,1
2677,COR000230342,0.9859424603,1
2678,COD007056252,0.9830174603,1
2680,FLD981027295,0.990424734,1
2683,FLD041497512,0.9943343437,1
2691,DCR000507028,0.9947007937,1
2692,NCD072018252,0.9865513937,1
2694,LAD985174028,0.9847655841,1
2702,DCR000504589,0.984277381,1
2705,WVR000526087,0.9839223564,1
2707,PA0001000538,0.9939296384,1
2715,NJR986630747,0.9885575397,1
2716,DCR000503284,0.9892757937,1
2724,IND000871301,0.9868079064,1
2726,NVR000088286,0.9838783286,1
2727,DCR000506717,0.9870154762,1
2738,NJR986634806,0.9877860827,1
2740,NJR986637528,0.987301623,1
2745,KSR000513424,0.9912047235,1
2748,NCD070430178,0.9845702381,1
2755,ILR000174979,0.9882184874,1
2757,PAD089169783,0.9848098375,1
2758,VAR000511725,0.9854106783,1
2759,DC1200000999,0.9853832141,1
2764,VT5000001339,0.985718254,1
2765,OKR000023572,0.9825440289,1
2766,LAR000074443,0.9827899341,1
2769,PAD002487502,0.9873490695,1
2772,PAR000530394,0.9826399514,1
2780,NJR986635571,0.9862082583,1
2782,DCR000504282,0.9952265873,1
2783,MID059912956,0.9845601543,1
2784,VAR000521393,0.9925397902,1
2785,COR000229344,0.9880781746,1
2792,WYR000213629,0.9885679303,1
2795,NJR000069716,0.9909830042,1
2797,PAD000738856,0.9886091887,1
2800,NJR986634947,0.9894325675,1
2806,DCR000501486,0.9825761905,1
2807,DCR000500330,0.9874777778,1
2808,WYR000212928,0.9857782926,1
2817,NJD115352676,0.9937129514,1
2822,MID005356928,0.995665683,1
2824,NVR000088641,0.9851565032,1
2825,NJR000063677,0.9937690294,1
2826,DCD077797793,0.9851174603,1
2827,NJD002171833,0.988598138,1
2828,DCR000506899,0.9887123016,1
2834,FLD045003316,0.9857868304,1
2835,NJD981875255,0.9918834876,1
2836,COR000231688,0.9824333333,1
2841,LAR000029181,0.9891628982,1
2845,NJR986625457,0.9910555556,1
2851,DCR000507326,0.9835198413,1
2862,MNS000127175,0.9875733633,1
2875,DC8470090004,0.9948970343,1
2879,ILR000176883,0.9871167099,1
2893,OKR000029132,0.987543254,1
2901,NJD002138543,0.9834246264,1
2904,NYR000212423,0.9889265873,1
2905,VAR000528653,0.9875322388,1
2909,DCR000507602,0.99485486,1
2911,TNR000025452,0.9836612991,1
2915,IN0000114751,0.9880969101,1
2916,NJR000073726,0.9953606778,1
2920,PR0000905018,0.9861217634,1
2925,PRD000706291,0.9878433214,1
2944,OHR000136937,0.9876293025,1
2945,DCR000507416,0.9928571429,1
2961,TNR000035790,0.9917104594,1
2964,OHR000133728,0.9907128774,1
2973,DCR000504605,0.9949369048,1
2984,VAR000528638,0.9861267145,1
2985,KYR000061556,0.9894640362,1
